date,AAPL,MSFT,NVDA,AVGO,GOOGL,AMZN,META,JPM,V,MA,JNJ,UNH,XOM,CVX,PG,KO,COST,CAT,WMT,HD
2021-01-29,0.09999999709677797,0.09999999391938802,6.717959741745406e-08,0.09999999622153323,3.8091527946133254e-08,0.06948975377244457,3.4634882874961727e-09,0.09999999741159843,7.644419101549824e-09,2.6718518520289063e-09,0.09999999103180009,0.030238566302428663,0.09999999759758231,4.806877589831636e-08,9.266871510685651e-09,1.0278772925969909e-08,0.09999997757843884,0.09999999806266577,0.0002715634501338128,0.09999998088990314
2021-02-26,0.06438041865823815,0.09999999983208026,2.483079954306587e-10,0.09999999983376712,0.09999998557387046,1.5723561295346353e-09,1.2120834401935247e-10,0.09999999983458192,2.06772491585907e-09,9.481332848203078e-10,0.0999999997504891,0.07437332994284322,0.09999999992106265,0.0910833913707697,2.1859146946468813e-10,1.1761725242676412e-09,1.764527653037127e-10,0.09999999988840995,1.9191823498799473e-10,0.07016286867302807
2021-03-31,1.790671505867181e-10,0.09999999452040459,1.5457181901033558e-10,4.392668224599617e-10,0.0849053300224762,3.023406995335409e-10,0.0859867704435306,0.0999999997375281,1.9025583269903746e-10,1.413260507566736e-10,0.09999999158310269,0.09999999790044004,0.09999999956221642,0.09999998927673615,3.570019861043165e-10,0.029107925138182812,3.4030893691596686e-10,0.0999999997866452,2.15313199412078e-10,0.09999999970929335
2021-04-30,3.376739090523818e-09,2.1619925279354537e-08,3.1398659291486493e-09,2.225107505070502e-09,0.09999452210091032,9.755280508373613e-09,0.09999999148582424,0.09999999423618267,0.09999999437753841,1.2534156806240459e-06,6.098836648982276e-08,0.09999999578278139,0.09999979096695993,0.03846831000423192,0.01165261295908121,0.09999999641868218,0.04988343764439756,0.0999999972981224,6.412128748704759e-09,0.0999999957921936
2021-05-28,1.887351277547048e-11,3.1481514495849e-11,0.09374638872694065,3.960869866634598e-12,1.4829937420760135e-10,2.9821924065027226e-11,0.09999999764995081,0.06843023279290159,7.431659661987819e-11,3.1658921309961385e-11,0.09999999985610517,0.09999999994282495,2.4247336844236163e-11,2.3496013595560918e-11,0.09999999037216119,0.09999999984105645,0.09999999970470469,0.09999999993218293,0.03782339084843062,0.09999999994658665
2021-06-30,1.557014083221455e-08,0.0999999822884325,0.09999999705710727,4.832547838278457e-09,0.049551346980230476,0.09999993852332636,0.02502999490956837,2.5000042880628207e-06,0.09999999076554723,3.90334004960862e-09,0.09999999507235119,0.09999999666012967,0.09999999954858231,2.2322942381540828e-08,0.00915813834305311,0.0999999959699705,0.09999999476358458,9.623165389837561e-08,0.016257967174328477,1.9078874772820365e-08
2021-07-30,0.09999999954749601,0.09999999986095895,0.09999999999401218,5.031020040099722e-10,0.0999999998399665,2.9573488063085927e-10,0.03423990257496099,1.520692629215293e-10,0.0766948208725799,1.1463619346175593e-10,0.09999999982862955,0.020907814899555788,4.952763781084143e-10,1.0801072794505891e-10,0.0999999998988059,0.09999999988033408,0.0999999997917563,1.700126378683325e-10,0.06815746101547367,1.566259661244321e-10
2021-08-31,0.09999999632696774,0.09999999441896107,0.09999999759879517,0.0002645075380882733,0.09999999279241949,0.07309527678200796,0.04346687056452788,5.4713350004007855e-09,4.890729259442885e-09,3.12920745604773e-09,0.08317676760197362,0.09999661268287517,1.6300334584375306e-09,2.730949227302281e-09,0.09999997533072603,6.040780737551935e-09,0.09999999086579561,3.2427696111825007e-09,0.09999993812395187,5.2237105360619324e-08
2021-09-30,3.631713339395129e-09,0.09994996663340289,4.6269283482971546e-08,0.0999999948294523,0.09999999495719915,2.773184976541092e-09,6.693119960210528e-09,0.09999999660883697,3.735865841593593e-09,2.7403540485355235e-09,0.09999984886110018,9.14611146188303e-09,1.735901813140551e-08,0.03303657792161045,0.09999999287336156,0.0670136280418706,0.09999999380159261,3.2844530167088994e-09,0.09999999655599082,0.09999991328247829
2021-10-29,2.4232544823210554e-11,0.09999999994541156,0.07970294294628867,8.368798820720916e-11,0.030967364612475474,4.280234387735429e-11,2.0853111736981504e-11,0.09999999912376359,2.7505581529871504e-11,1.5973846855280963e-11,2.9875391380441347e-11,0.09999999970943521,0.0999999993038191,0.09999999979800966,0.09999999201824511,2.292094643296626e-10,0.0999999999264353,1.622151075115646e-11,0.08932970220816125,0.09999999991759934
